date,interface_name_as_reported,import_mu,month_cumulative_mu,source_daily_average_mu,classification,source_sha256
2024-04-16,110KV_MJSM +PRSLA,0.7456,13.5019,,official_observed_reference,35c66487704e88f37405a7b9cdac9e9f3190ca614c143d1ea410b68555a7b200
2024-04-17,400KV MDKA,13.556,215.194,12.6585,official_observed_reference,26fb8ceae1becf6f29f187ba4967c23a2fbe8c984b5b8e0be8091c9047044560
2024-04-17,400KV PKKD,9.387,160.824,,official_observed_reference,26fb8ceae1becf6f29f187ba4967c23a2fbe8c984b5b8e0be8091c9047044560
2024-04-17,400KV KOCHI+KOTTAYAM,18.871,306.641,18.0377,official_observed_reference,26fb8ceae1becf6f29f187ba4967c23a2fbe8c984b5b8e0be8091c9047044560
2024-04-17,400KV KOZHKOD,16.328,272.301,,official_observed_reference,26fb8ceae1becf6f29f187ba4967c23a2fbe8c984b5b8e0be8091c9047044560
2024-04-17,400KV NORTH TRSR,7.9931,137.4373,8.0845,official_observed_reference,26fb8ceae1becf6f29f187ba4967c23a2fbe8c984b5b8e0be8091c9047044560
2024-04-17,400KV TVM,10.51,170.085,,official_observed_reference,26fb8ceae1becf6f29f187ba4967c23a2fbe8c984b5b8e0be8091c9047044560
2024-04-17,220KV_KNPA+SBGR +PVUD+EDMN,9.7494,155.4961,9.1468,official_observed_reference,26fb8ceae1becf6f29f187ba4967c23a2fbe8c984b5b8e0be8091c9047044560
2024-04-17,110KV_MJSM +PRSLA,0.7923,14.2942,,official_observed_reference,26fb8ceae1becf6f29f187ba4967c23a2fbe8c984b5b8e0be8091c9047044560
2024-04-18,400KV MDKA,13.028,228.222,12.679,official_observed_reference,90731de76ba1180539407d9b79ae66a8effaa203ceb047b901038b81d134ce9c
2024-04-18,400KV PKKD,9.783,170.607,,official_observed_reference,90731de76ba1180539407d9b79ae66a8effaa203ceb047b901038b81d134ce9c
2024-04-18,400KV KOCHI+KOTTAYAM,17.604,324.245,18.0136,official_observed_reference,90731de76ba1180539407d9b79ae66a8effaa203ceb047b901038b81d134ce9c
2024-04-18,400KV KOZHKOD,15.35,287.651,,official_observed_reference,90731de76ba1180539407d9b79ae66a8effaa203ceb047b901038b81d134ce9c
2024-04-18,400KV NORTH TRSR,8.0878,145.525,8.0847,official_observed_reference,90731de76ba1180539407d9b79ae66a8effaa203ceb047b901038b81d134ce9c
2024-04-18,400KV TVM,10.729,180.814,,official_observed_reference,90731de76ba1180539407d9b79ae66a8effaa203ceb047b901038b81d134ce9c
2024-04-18,220KV_KNPA+SBGR +PVUD+EDMN,9.7486,165.2447,9.1803,official_observed_reference,90731de76ba1180539407d9b79ae66a8effaa203ceb047b901038b81d134ce9c
2024-04-18,110KV_MJSM +PRSLA,0.8617,15.1559,,official_observed_reference,90731de76ba1180539407d9b79ae66a8effaa203ceb047b901038b81d134ce9c
2024-04-19,400KV MDKA,13.183,241.405,12.7055,official_observed_reference,f795429331f99eb05a24cfdd4a90402da49afdb02d50d1a8863349dfb34f829c
2024-04-19,400KV PKKD,9.817,180.424,,official_observed_reference,f795429331f99eb05a24cfdd4a90402da49afdb02d50d1a8863349dfb34f829c
2024-04-19,400KV KOCHI+KOTTAYAM,18.943,343.188,18.0625,official_observed_reference,f795429331f99eb05a24cfdd4a90402da49afdb02d50d1a8863349dfb34f829c
2024-04-19,400KV KOZHKOD,15.845,303.496,,official_observed_reference,f795429331f99eb05a24cfdd4a90402da49afdb02d50d1a8863349dfb34f829c
2024-04-19,400KV NORTH TRSR,8.2563,153.7813,8.0938,official_observed_reference,f795429331f99eb05a24cfdd4a90402da49afdb02d50d1a8863349dfb34f829c
2024-04-19,400KV TVM,10.577,191.391,,official_observed_reference,f795429331f99eb05a24cfdd4a90402da49afdb02d50d1a8863349dfb34f829c
2024-04-19,220KV_KNPA+SBGR +PVUD+EDMN,10.0734,175.3181,9.2273,official_observed_reference,f795429331f99eb05a24cfdd4a90402da49afdb02d50d1a8863349dfb34f829c
2024-04-19,110KV_MJSM +PRSLA,0.8981,16.054,,official_observed_reference,f795429331f99eb05a24cfdd4a90402da49afdb02d50d1a8863349dfb34f829c
2024-04-20,400KV MDKA,13.529,254.934,12.7467,official_observed_reference,58893874d912d193f31eea52e8f9cf807b774732985d298f949f385201c3232e
2024-04-20,400KV PKKD,9.823,190.247,,official_observed_reference,58893874d912d193f31eea52e8f9cf807b774732985d298f949f385201c3232e
2024-04-20,400KV KOCHI+KOTTAYAM,20.484,363.672,18.1836,official_observed_reference,58893874d912d193f31eea52e8f9cf807b774732985d298f949f385201c3232e
2024-04-20,400KV KOZHKOD,15.135,318.631,,official_observed_reference,58893874d912d193f31eea52e8f9cf807b774732985d298f949f385201c3232e
2024-04-20,400KV NORTH TRSR,7.8481,161.6294,8.0815,official_observed_reference,58893874d912d193f31eea52e8f9cf807b774732985d298f949f385201c3232e
2024-04-20,400KV TVM,10.689,202.08,,official_observed_reference,58893874d912d193f31eea52e8f9cf807b774732985d298f949f385201c3232e
2024-04-20,220KV_KNPA+SBGR +PVUD+EDMN,10.0747,185.3928,9.2696,official_observed_reference,58893874d912d193f31eea52e8f9cf807b774732985d298f949f385201c3232e
2024-04-20,110KV_MJSM +PRSLA,0.783,16.837,,official_observed_reference,58893874d912d193f31eea52e8f9cf807b774732985d298f949f385201c3232e
2024-04-21,400KV MDKA,11.7,266.634,12.6969,official_observed_reference,4bade44b13850be174b40c975b616f90fe99bee430e2e53056c4e30a4d983367
2024-04-21,400KV PKKD,9.28,199.527,,official_observed_reference,4bade44b13850be174b40c975b616f90fe99bee430e2e53056c4e30a4d983367
2024-04-21,400KV KOCHI+KOTTAYAM,18.69,382.362,18.2077,official_observed_reference,4bade44b13850be174b40c975b616f90fe99bee430e2e53056c4e30a4d983367
2024-04-21,400KV KOZHKOD,14.544,333.175,,official_observed_reference,4bade44b13850be174b40c975b616f90fe99bee430e2e53056c4e30a4d983367
2024-04-21,400KV NORTH TRSR,7.1388,168.7682,8.0366,official_observed_reference,4bade44b13850be174b40c975b616f90fe99bee430e2e53056c4e30a4d983367
2024-04-21,400KV TVM,10.193,212.273,,official_observed_reference,4bade44b13850be174b40c975b616f90fe99bee430e2e53056c4e30a4d983367
2024-04-21,220KV_KNPA+SBGR +PVUD+EDMN,9.6522,195.0449,9.2879,official_observed_reference,4bade44b13850be174b40c975b616f90fe99bee430e2e53056c4e30a4d983367
2024-04-21,110KV_MJSM +PRSLA,0.8494,17.6865,,official_observed_reference,4bade44b13850be174b40c975b616f90fe99bee430e2e53056c4e30a4d983367
